1,Aguascalientes,121197.634,126554.147,129628.028,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,190482.862,198220.641,211672.469,216705.56,224891.592,222451.271,204726.037
2,Baja California,399514.624,423005.499,433008.166,456019.296,461581.274,457556.565,407745.948,428162.546,440700.662,456024.472,465524.695,478121.939,511459.528,535552.651,553327.213,566045.913,575332.463,553650.356
3,Baja California Sur,76047.593,81546.009,87397.67,93655.622,106199.426,108975.356,108338.811,110656.4,114707.762,117345.833,115027.644,116027.018,130520.642,133948.675,148376.63,173200.594,158953.669,121985.608
4,Campeche,1047511.322,1059561.025,1038533.775,1014280.35,947575.493,867231.044,780757.429,753968.591,726503.856,714787.065,721085.063,685981.27,637604.643,600612.272,537882.577,529465.695,517309.327,481994.49
5,Coahuila,436573.518,449143.882,458867.907,480488.194,500478.657,498326.775,421327.489,489951.776,523207.112,549551.802,538206.987,559217.153,563928.44,572243.615,601722.052,608138.802,603865.64,535558.427
6,Colima,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.178,87944.969,90540.289,91422.446,93703.258,95878.066,98576.211,102039.429,105031.03,109098.972,101247.641
7,Chiapas,248123.227,238375.89,240279.559,248414.302,252536.304,258289.89,256698.362,270989.331,279446.584,284733.625,280925.273,294029.165,287811.831,287034.269,277580.835,267664.128,261684.516,254356.257
8,Chihuahua,360426.663,376662.637,389210.794,419631.539,434649.92,440792.887,401079.179,417796.42,427430.027,459166.22,476290.197,485693.517,510642.914,534205.546,551497.303,564077.669,572880.305,538030.466
9,Ciudad de México,2132929.372,2226949.736,2258091.583,2374722.886,2408565.865,2450391.202,2362516.439,2446910.439,2533806.893,2633934.642,2673066.331,2748551.988,2869792.908,2957233.594,3045539.859,3126459.566,3132839.076,2856750.909
10,Durango,152922.727,157662.281,155001.886,160388.081,162709.802,165722.989,163083.647,169268.084,176314.713,182943.056,189052.812,192968.629,192888.101,200660.962,199559.31,202272.029,204045.941,189703.349
11,Guanajuato,438354.387,450953.155,454625.559,477646.929,488729.604,503024.423,481674.906,517168.681,548163.17,570921.987,594575.532,620084.804,653849.926,673328.294,704179.453,713090.078,701795.455,650174.559
12,Guerrero,182713.981,192557.837,195219.889,199540.65,204879.83,208284.821,201239.316,211890.535,214478.174,218118.481,218811.378,227659.005,229580.566,234185.03,234094.182,240685.982,240749.756,219138.427
13,Hidalgo,179553.378,191549.579,190073.779,195404.535,201655.418,208800.335,195581.126,206303.584,214569.188,222797.005,230982.767,243064.784,258695.052,268833.622,270118.073,276996.193,272452.995,243488.874
14,Jalisco,794957.322,819238.31,842128.813,886009.726,913139.834,918573.456,870319.1,925371.837,953148.056,995285.999,1018578.607,1067256.762,1104884.87,1149129.548,1176616.034,1208076.022,1216735.696,1125698.536
15,México,1048403.59,1073840.81,1099376.794,1150701.95,1184658.428,1198144.35,1138727.918,1226813.687,1283448.197,1339994.611,1365154.229,1402291.945,1445183.505,1485467.443,1556925.971,1608137.236,1580644.778,1484568.874
16,Michoacán,294468.306,301021.642,306026.395,320451.426,328272.19,334657.914,317003.042,329767.26,343275.664,352030.387,359465.987,379655.442,386038.362,402111.981,414856.586,424359.973,424544.678,396644.274
17,Morelos,158055.834,159734.875,171279.471,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.143,185662.448,187472.397,194412.078,203238.504,201316.454,201049.316,179567.493
18,Nayarit,76105.196,86879.422,90269.847,92165.697,91675.276,98292.89,93038.497,97786.134,100704.16,100800.218,103627.459,108986.732,114062.999,119473.243,121000.114,120639.992,121042.682,107124.831
19,Nuevo León,803888.528,849841.554,885438.787,946837.916,1004636.521,1020366.768,952725.778,1025184.258,1069812.268,1113817.766,1124999.893,1161168.669,1228082.513,1257648.421,1306549.097,1353169.991,1372625.069,1267121.013
20,Oaxaca,202963.936,210757.192,213677.217,218023.575,219815.363,226633.787,224510.705,228089.144,234955.838,239680.171,245515.976,250239.106,260612.907,256580.339,250518.62,260740.417,252892.486,237176.764
21,Puebla,395907.258,405907.943,428179.294,447201.403,465818.722,468969.471,432578.676,469967.84,493353.224,524226.058,519256.535,526200.669,540604.128,555309.088,589080.273,603843.688,595393.262,531159.173
22,Querétaro,212106.713,227917.275,243311.19,258448.271,271622.051,278348.405,270311.398,287403.169,308865.228,318294.372,319989.728,342666.454,362418.911,377947.864,395109.808,406744.73,403298.963,365428.624
